Category: All categories

Month,Facebook: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,2
2007-06,2
2007-07,3
2007-08,4
2007-09,4
2007-10,5
2007-11,6
2007-12,6
2008-01,6
2008-02,6
2008-03,6
2008-04,7
2008-05,8
2008-06,10
2008-07,11
2008-08,12
2008-09,14
2008-10,16
2008-11,20
2008-12,23
2009-01,27
2009-02,30
2009-03,31
2009-04,34
2009-05,35
2009-06,38
2009-07,41
2009-08,45
2009-09,48
2009-10,51
2009-11,52
2009-12,55
2010-01,57
2010-02,61
2010-03,61
2010-04,66
2010-05,64
2010-06,66
2010-07,67
2010-08,69
2010-09,73
2010-10,71
2010-11,71
2010-12,76
2011-01,77
2011-02,78
2011-03,76
2011-04,79
2011-05,74
2011-06,77
2011-07,80
2011-08,81
2011-09,81
2011-10,79
2011-11,78
2011-12,80
2012-01,79
2012-02,80
2012-03,80
2012-04,81
2012-05,79
2012-06,81
2012-07,80
2012-08,77
2012-09,78
2012-10,96
2012-11,99
2012-12,100
2013-01,97
2013-02,96
2013-03,97
2013-04,93
2013-05,96
2013-06,96
2013-07,96
2013-08,92
2013-09,88
2013-10,82
2013-11,82
2013-12,80
2014-01,77
2014-02,76
2014-03,74
2014-04,74
2014-05,72
2014-06,74
2014-07,74
2014-08,71
2014-09,70
2014-10,67
2014-11,65
2014-12,64
2015-01,61
2015-02,60
2015-03,58
2015-04,59
2015-05,59
2015-06,57
2015-07,58
2015-08,58
2015-09,54
2015-10,54
2015-11,54
2015-12,54
2016-01,56
2016-02,55
2016-03,54
2016-04,54
2016-05,54
2016-06,52
2016-07,53
2016-08,52
2016-09,47
2016-10,46
2016-11,44
2016-12,44
2017-01,43
2017-02,41
2017-03,40
2017-04,40
2017-05,40
2017-06,39
2017-07,39
2017-08,39
2017-09,38
2017-10,36
2017-11,34
2017-12,34
2018-01,34
